# Định dạng: ID | Tâm (Center_X, Center_Y) | Khung (BBox [x, y, w, h])
# Tất cả giá trị đều là tỉ lệ (0.0 - 1.0) so với kích thước thật của ảnh.
ID: 152 | Center: 0.0622, 0.0136 | BBox: [0.0548, 0.0001, 0.0149, 0.0269]
ID: 153 | Center: 0.5622, 0.3963 | BBox: [0.5524, 0.3840, 0.0196, 0.0247]
ID: 154 | Center: 0.0487, 0.9754 | BBox: [0.0376, 0.9516, 0.0224, 0.0476]
ID: 155 | Center: 0.0294, 0.0127 | BBox: [0.0217, 0.0013, 0.0153, 0.0227]
ID: 156 | Center: 0.0778, 0.0136 | BBox: [0.0714, 0.0001, 0.0128, 0.0269]
ID: 157 | Center: 0.0076, 0.9302 | BBox: [0.0000, 0.9137, 0.0153, 0.0330]
ID: 158 | Center: 0.7331, 0.2662 | BBox: [0.7229, 0.2467, 0.0206, 0.0390]
ID: 159 | Center: 0.4000, 0.9741 | BBox: [0.3881, 0.9537, 0.0238, 0.0407]
ID: 160 | Center: 0.0921, 0.0143 | BBox: [0.0869, 0.0000, 0.0104, 0.0287]
ID: 161 | Center: 0.3306, 0.1102 | BBox: [0.3156, 0.0706, 0.0299, 0.0791]
ID: 162 | Center: 0.9915, 0.0442 | BBox: [0.9833, 0.0287, 0.0165, 0.0310]
ID: 163 | Center: 0.6364, 0.9764 | BBox: [0.6209, 0.9527, 0.0310, 0.0473]
ID: 164 | Center: 0.5602, 0.5111 | BBox: [0.5496, 0.4967, 0.0213, 0.0287]
ID: 165 | Center: 0.8801, 0.9741 | BBox: [0.8696, 0.9481, 0.0209, 0.0519]
ID: 166 | Center: 0.7741, 0.9740 | BBox: [0.7649, 0.9557, 0.0184, 0.0365]
ID: 167 | Center: 0.8266, 0.9733 | BBox: [0.8188, 0.9508, 0.0158, 0.0449]
ID: 168 | Center: 0.9164, 0.0153 | BBox: [0.9043, 0.0000, 0.0242, 0.0305]
ID: 169 | Center: 0.7911, 0.9715 | BBox: [0.7832, 0.9529, 0.0158, 0.0372]
ID: 170 | Center: 0.6715, 0.1253 | BBox: [0.6632, 0.0942, 0.0166, 0.0623]
ID: 171 | Center: 0.5574, 0.3205 | BBox: [0.5514, 0.3080, 0.0119, 0.0249]
ID: 172 | Center: 0.7037, 0.1088 | BBox: [0.6956, 0.0951, 0.0162, 0.0275]
